"lat_dec","lon_dec","hour_dec","boatspeed_mph","turbidity_ntu","sp_cond_ms_cm","pH","wtemp_c","B3","B4","ndti","ndti_flag","class"
33.75421,-98.37034,9.870834,24.2,14.04658,617.8,8.74,29.29,6424,6344,-0.006265664,1,"clouds"
33.75417,-98.37024,9.871058,24.2,14.00757,617.8,8.74,29.29,6124,6372,0.01984635,1,"clouds"
33.75414,-98.37014,9.87128,24.2,13.96283,617.8,8.74,29.29,5868,6284,0.03423305,1,"clouds"
33.7541,-98.37004,9.871502,24.2,13.97925,617.8,8.74,29.29,6640,6704,0.004796163,1,"clouds"
33.75406,-98.36995,9.871724,24.2,14.05242,617.8,8.74,29.28829,6592,6836,0.01817099,1,"clouds"
33.75402,-98.36985,9.871947,24.2,14.11388,617.8,8.74,29.28155,6312,6712,0.03071253,1,"clouds"
33.75398,-98.36975,9.872171,24.2,14.15548,617.8,8.74,29.27215,6984,7128,0.01020408,1,"clouds"
33.75394,-98.36966,9.872391,24.13926,14.1984,617.7494,8.74,29.26798,6632,6720,0.006590773,1,"clouds"
33.7539,-98.36956,9.87261,24.1,14.24831,617.6706,8.736709,29.26864,6544,6548,0.0003055301,1,"clouds"
33.75386,-98.36946,9.87283,24.1,14.31468,617.5938,8.72949,29.27322,6212,6224,0.0009649405,1,"clouds"
33.75382,-98.36936,9.873054,24.1,14.41398,617.567,8.720096,29.27993,6020,5924,-0.008037508,1,"clouds"
33.75378,-98.36927,9.873282,24.1,14.50193,617.6074,8.717284,29.28,6108,5880,-0.01901902,1,"clouds"
33.75374,-98.36917,9.873508,24.1,14.54999,617.6691,8.719814,29.28,6224,6048,-0.01434159,1,"clouds"
33.75369,-98.36908,9.873731,24.05683,14.56163,617.7,8.725265,29.28,5996,5804,-0.01627119,1,"clouds"
33.75365,-98.36898,9.873952,24.09042,14.53013,617.6812,8.73,29.28,5728,5616,-0.009873061,1,"clouds"
33.75361,-98.36889,9.874173,24.41222,14.44269,617.6143,8.73,29.28,6120,5692,-0.03623434,1,"clouds"
33.75357,-98.36879,9.874393,24.88881,14.35267,617.5216,8.73,29.28,6120,5692,-0.03623434,1,"clouds"
33.75352,-98.3687,9.874607,25.29405,14.33755,617.4804,8.73,29.28,5868,5400,-0.04153355,1,"clouds"
33.75348,-98.3686,9.874821,25.60655,14.38074,617.4845,8.73,29.28,6232,5912,-0.02635046,1,"clouds"
33.75343,-98.36851,9.875034,25.82444,14.4588,617.5269,8.73,29.28,6392,5692,-0.05792784,1,"clouds"
33.7534,-98.36841,9.875247,25.97786,14.50354,617.5908,8.73,29.28,6776,6120,-0.05086849,1,"clouds"
33.75335,-98.36832,9.87546,26.1969,14.48484,617.6,8.73,29.28,6424,5612,-0.06746427,1,"clouds"
33.75331,-98.36823,9.875669,26.34093,14.49623,617.6,8.73,29.28,6684,5996,-0.05425868,1,"clouds"
33.75326,-98.36813,9.875874,26.41478,14.55606,617.6,8.73,29.27877,6100,5200,-0.07964602,1,"clouds"
33.75322,-98.36804,9.876076,26.48748,14.676,617.6,8.73,29.27271,6100,5200,-0.07964602,1,"clouds"
33.75317,-98.36794,9.876278,26.56017,14.76787,617.5499,8.73,29.26465,5748,4808,-0.08904888,1,"clouds"
33.75313,-98.36785,9.876479,26.66487,14.81662,617.4788,8.727297,29.25892,6016,5372,-0.05655076,1,"clouds"
33.75309,-98.36775,9.876679,26.8,14.81526,617.3986,8.721179,29.25688,5980,5680,-0.02572899,1,"clouds"
33.75304,-98.36766,9.876877,26.8,14.73396,617.3747,8.712809,29.26047,6240,6088,-0.01232966,1,"clouds"
33.75299,-98.36757,9.877079,26.8,14.6354,617.391,8.70838,29.26572,6016,5844,-0.01450253,1,"clouds"
33.75295,-98.36747,9.877282,26.8,14.52777,617.4348,8.707754,29.27,5836,5664,-0.01495652,1,"clouds"
33.7529,-98.36739,9.877486,26.8,14.41928,617.4957,8.71141,29.27,5816,5680,-0.0118302,1,"clouds"
33.75285,-98.36729,9.877685,26.8,14.30827,617.5,8.717226,29.27,5800,5332,-0.04204096,1,"clouds"
33.75281,-98.3672,9.877883,26.8,14.22523,617.5,8.72,29.26686,3760,3260,-0.07122507,1,"clouds"
33.75277,-98.3671,9.878079,26.8,14.17444,617.5,8.72,29.2607,1736,1256,-0.1604278,1,"clouds"
33.75272,-98.36701,9.878279,26.8,14.18407,617.5,8.72,29.25228,1152,788,-0.1876289,1,"clouds"
33.75268,-98.36691,9.878479,26.8,14.20511,617.5,8.72,29.24825,1104,736,-0.2,1,"clouds"
33.75265,-98.36682,9.87868,26.8,14.22208,617.5,8.72,29.24791,1076,748,-0.1798246,1,"clouds"
